Attributt;Språk;AttributtVerdi;"Gammel attributtverdi";Sort
EAN;Norsk;9315939115246;9315939115246;1
EAN;Norsk;9315939115253;9315939115253;1
EAN;Norsk;9315939115260;9315939115260;1
EAN;Norsk;9315939115277;9315939115277;1
EAN;Norsk;9315939115284;9315939115284;1
EAN;Norsk;9315939115291;9315939115291;1
EAN;Norsk;9315939115307;9315939115307;1
EAN;Norsk;9315939115314;9315939115314;1
EAN;Norsk;9315939115321;9315939115321;1
EAN;Norsk;9315939115338;9315939115338;1
EAN;Norsk;9315939115345;9315939115345;1
EAN;Norsk;9315939115352;9315939115352;1
EAN;Norsk;9315939115369;9315939115369;1
EAN;Norsk;9315939115376;9315939115376;1
EAN;Norsk;9315939115383;9315939115383;1
EAN;Norsk;9315939115390;9315939115390;1
EAN;Norsk;9315939115406;9315939115406;1
EAN;Norsk;9315939115413;9315939115413;1
EAN;Norsk;9315939115420;9315939115420;1
EAN;Norsk;9315939115437;9315939115437;1
EAN;Norsk;9315939115444;9315939115444;1
EAN;Norsk;9315939115451;9315939115451;1
EAN;Norsk;9315939115468;9315939115468;1
EAN;Norsk;9315939115475;9315939115475;1
EAN;Norsk;9315939115482;9315939115482;1
